Analyzing near_basket...                                        

   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:112:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:113:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:114:20 - prefer_const_constructors
   info - Use 'const' literals as arguments to constructors of '@immutable' classes - lib\features\map_discovery\screens\home_screen.dart:116:25 - prefer_const_literals_to_create_immutables
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:117:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:119:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:125:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:131:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:141:9 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:141:35 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:148:16 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:152:11 - prefer_const_constructors
   info - Use 'const' literals as arguments to constructors of '@immutable' classes - lib\features\map_discovery\screens\home_screen.dart:154:23 - prefer_const_literals_to_create_immutables
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:155:15 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:157:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:164:15 - prefer_const_constructors
   info - Use 'const' literals as arguments to constructors of '@immutable' classes - lib\features\map_discovery\screens\home_screen.dart:165:27 - prefer_const_literals_to_create_immutables
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:166:19 - prefer_const_constructors
